"","V1","Home","HomeStartingPitcher","HomeStartingPlayer_1","HomeStartingPlayer_2","HomeStartingPlayer_3","HomeStartingPlayer_4","HomeStartingPlayer_5","HomeStartingPlayer_6","HomeStartingPlayer_7","HomeStartingPlayer_8","HomeStartingPlayer_9","Visitor","VisitorStartingPitcher","VisitorStartingPlayer_1","VisitorStartingPlayer_2","VisitorStartingPlayer_3","VisitorStartingPlayer_4","VisitorStartingPlayer_5","VisitorStartingPlayer_6","VisitorStartingPlayer_7","VisitorStartingPlayer_8","VisitorStartingPlayer_9","homeWin","HomeStartingPitcher_G","HomeStartingPitcher_GD","HomeStartingPitcher_CG","HomeStartingPitcher_SHO","HomeStartingPitcher_SV","HomeStartingPitcher_IPouts","HomeStartingPitcher_H","HomeStartingPitcher_ERA","HomeStartingPitcher_BB","HomeStartingPitcher_HBP","VisitorStartingPitcher_G","VisitorStartingPitcher_GD","VisitorStartingPitcher_CG","VisitorStartingPitcher_SHO","VisitorStartingPitcher_SV","VisitorStartingPitcher_IPouts","VisitorStartingPitcher_H","VisitorStartingPitcher_ERA","VisitorStartingPitcher_BB","VisitorStartingPitcher_HBP"
"14",13,"ANA","heanean01","escobyu01","gentrcr01","troutmi01","pujolal01","croncj01","calhoko01","simmoan01","perezca02","giavojo01","CHN","lestejo01","fowlede01","heywaja01","bryankr01","rizzoan01","zobribe01","solerjo01","russead02","szczuma01","rossda01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",14,"CLE","klubeco01","davisra01","kipnija01","lindofr01","napolmi01","santaca01","gomesya01","byrdma01","uribeju01","cowgico01","BOS","priceda01","bettsmo01","pedrodu01","bogaexa01","ortizda01","ramirha01","shawtr01","holtbr01","swihabl01","bradlja02",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",15,"KCA","youngch03","escobal02","moustmi01","cainlo01","hosmeer01","moralke01","gordoal01","perezsa02","infanom01","fuentre01","NYN","syndeno01","grandcu01","wrighda03","cespeyo01","dudalu01","walkene01","confomi01","cabreas01","darnatr01","deazaal01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",16,"NYA","tanakma01","ellsbja01","hicksaa01","rodrial01","teixema01","beltrca01","mccanbr01","headlch01","castrst01","gregodi01","HOU","keuchda01","altuvjo01","springe01","correca01","rasmuco01","gomezca01","valbulu01","tuckepr01","gonzama01","castrja01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",17,"OAK","bassich01","crispco01","lowrije01","reddijo01","valenda01","daviskh01","butlebi03","phegljo01","alonsyo01","semiema01","CHA","quintjo01","eatonad02","rolliji01","abreujo02","frazito01","cabreme01","garciav01","lawribr01","avilaal01","jacksau01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",18,"TBA","odorija01","forsylo01","morrilo01","longoev01","dickeco01","jennide01","millebr02","souzast01","kiermke01","congeha01","TOR","sanchaa01","pillake01","donaljo02","bautijo02","encared01","tulowtr01","smoakju01","saundmi01","martiru01","goinsry01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",19,"TEX","perezma02","deshide02","choosh01","fieldpr01","beltrad01","morelmi01","desmoia01","odorro01","andruel01","chiriro01","SEA","iwakuhi01","aokino01","marteke01","canoro01","cruzne02","seageky01","gutiefr01","iannech01","leeda02","martile01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",20,"ARI","millesh01","segurje01","britoso01","goldspa01","peralda01","castiwe01","lambja01","tomasya01","millesh01","ahmedni01","COL","bettich01","blackch02","storytr01","gonzaca01","arenano01","parrage01","hundlni01","paulsbe01","lemahdj01","bettich01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",21,"MIA","chenwe02","gordode01","ozunama01","yelicch01","stantmi03","pradoma01","bourju01","realmjt01","hechaad01","chenwe02","DET","verlaju01","kinslia01","uptonju01","cabremi01","martijd02","casteni01","mccanja02","iglesjo01","gosean01","verlaju01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",22,"MIL","nelsoji02","santado01","gennesc01","braunry02","lucrojo01","cartech02","florera02","hillaa01","villajo01","nelsoji02","SFN","cuetojo01","spande01","panikjo01","poseybu01","pencehu01","beltbr01","duffyma01","crawfbr01","cuetojo01","paganan01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",23,"PIT","niesejo01","jasojo01","mccutan01","freesda01","martest01","cervefr01","polangr01","harrijo05","mercejo03","niesejo01","SLN","wachami01","carpema01","piscost01","hollima01","grichra01","molinya01","mossbr01","gyorkje01","diazal02","wachami01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",24,"SDN","shielja02","jayjo02","spangco01","kempma01","myerswi01","norride01","solarya01","ramiral03","uptonbj01","shielja02","LAN","kazmisc01","utleych01","seageco01","turneju01","gonzaad01","puigya01","crawfca02","pederjo01","barneau01","kazmisc01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",25,"BAL","gallayo01","machama01","jonesad01","davisch02","trumbma01","wietema01","alvarpe01","hardyjj01","schoojo01","rickajo01","MIN","gibsoky01","doziebr01","mauerjo01","sanomi01","plouftr01","rosared01","parkby01","escobed01","suzukku01","buxtoby01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",26,"CLE","carraca01","lindofr01","ramirjo01","kipnija01","napolmi01","santaca01","gomesya01","byrdma01","uribeju01","naquity01","BOS","buchhcl01","bettsmo01","pedrodu01","bogaexa01","ortizda01","ramirha01","shawtr01","holtbr01","swihabl01","bradlja02",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",27,"NYA","pinedmi01","ellsbja01","gardnbr01","rodrial01","teixema01","mccanbr01","beltrca01","headlch01","castrst01","gregodi01","HOU","mchugco01","altuvjo01","springe01","correca01","rasmuco01","gomezca01","valbulu01","whitety01","tuckepr01","castrja01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",28,"OAK","grayso01","burnsbi02","daviskh01","lowrije01","valenda01","butlebi03","phegljo01","canhama01","alonsyo01","semiema01","CHA","rodonca01","eatonad02","rolliji01","abreujo02","frazito01","cabreme01","garciav01","lawribr01","avilaal01","jacksau01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",29,"TBA","moorema02","forsylo01","guyerbr01","longoev01","pearcst01","jennide01","souzast01","beckhti01","kiermke01","casalcu01","TOR","happja01","pillake01","donaljo02","bautijo02","encared01","tulowtr01","colabch01","martiru01","carreez01","barneda01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",30,"TEX","lewisco01","choosh01","desmoia01","fieldpr01","beltrad01","odorro01","ruary01","ruggiju01","holadbr01","alberha01","SEA","mileywa01","martile01","seageky01","canoro01","cruzne02","lindad01","smithse01","sardilu01","clevest01","marteke01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",31,"ARI","corbipa01","segurje01","owingch01","goldspa01","peralda01","lambja01","drurybr01","herrmch01","corbipa01","ahmedni01","COL","chatwty01","lemahdj01","storytr01","gonzaca01","arenano01","reynoma01","raburry01","hundlni01","barnebr02","chatwty01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
