,Dates,DayNight,Home,HomeLeague,HomeScore,HomeStartingPitcher,HomeStartingPlayer_1,HomeStartingPlayer_2,HomeStartingPlayer_3,HomeStartingPlayer_4,HomeStartingPlayer_5,HomeStartingPlayer_6,HomeStartingPlayer_7,HomeStartingPlayer_8,HomeStartingPlayer_9,Visitor,VisitorLeague,VisitorScore,VisitorStartingPitcher,VisitorStartingPlayer_1,VisitorStartingPlayer_2,VisitorStartingPlayer_3,VisitorStartingPlayer_4,VisitorStartingPlayer_5,VisitorStartingPlayer_6,VisitorStartingPlayer_7,VisitorStartingPlayer_8,VisitorStartingPlayer_9
0,20160403,N,KCA,AL,4,volqe001,escoa003,mousm001,cainl001,hosme001,morak001,gorda001,peres002,infao001,fuenr001,NYN,NL,3,harvm001,granc001,wrigd002,cespy001,dudal001,walkn001,confm001,cabra002,darnt001,lagaj001
1,20160403,D,TBA,AL,3,archc001,forsl001,morrl001,longe001,dickc002,jennd002,millb002,souzs001,kierk001,congh001,TOR,AL,5,strom001,pillk001,donaj001,bautj002,encae001,tulot001,colac001,saunm001,martr004,goinr001
2,20160403,D,PIT,NL,4,lirif001,jasoj001,mccua001,freed001,marts002,cervf001,polag001,harrj002,mercj002,lirif001,SLN,NL,1,waina001,carpm002,phamt001,hollm001,gricr001,piscs001,moliy001,wongk001,gyorj001,waina001
3,20160404,N,ANA,AL,0,richg002,escoy001,navad002,troum001,pujoa001,calhk001,cronc002,simma001,perec003,giavj001,CHN,NL,9,arrij001,fowld001,heywj001,zobrb001,rizza001,bryak001,schwk001,solej001,montm001,russa002
4,20160404,D,BAL,AL,3,tillc001,machm001,jonea003,davic003,trumm001,wietm001,alvap001,hardj003,schoj001,rickj001,MIN,AL,2,sante001,dozib001,mauej001,sanom001,plout001,rosae001,parkb002,escoe001,suzuk001,buxtb001
5,20160404,N,OAK,AL,3,hillr001,burnb002,lowrj001,reddj001,valed001,davik003,butlb003,canhm001,vogts001,semim001,CHA,AL,4,salec001,eatoa002,rollj001,abrej003,frazt001,cabrm002,garca003,lawrb002,navad001,jacka001
6,20160404,N,TBA,AL,3,smyld001,forsl001,morrl001,longe001,dickc002,jennd002,millb002,souzs001,kierk001,casac001,TOR,AL,5,dickr001,pillk001,donaj001,bautj002,encae001,tulot001,colac001,saunm001,goinr001,tholj001
7,20160404,D,TEX,AL,3,hamec001,deshd002,choos001,fielp001,belta001,morem001,desmi001,odorr001,andre001,chirr001,SEA,AL,2,hernf002,aokin001,martk001,canor001,cruzn002,seagk001,gutif001,linda001,iannc001,martl004
8,20160404,N,ARI,NL,5,greiz001,seguj002,owinc001,goldp001,castw002,perad001,tomay001,lambj001,greiz001,ahmen001,COL,NL,10,delaj001,blacc001,stort001,gonzc001,arenn001,parrg001,reynm001,hundn001,lemad001,delaj001
9,20160404,D,ATL,NL,3,tehej001,incie001,aybae001,freef001,garca004,markn001,olivh001,piera001,petej002,tehej001,WAS,NL,4,schem001,reveb001,renda001,harpb003,zimmr001,murpd006,wertj001,ramow001,espid001,schem001
10,20160404,D,CIN,NL,6,igler001,cozaz001,suare001,vottj001,philb001,brucj001,mesod001,duvaa001,igler001,hamib001,PHI,NL,2,hellj001,hernc005,herro001,franm004,howar001,ruizc001,huntc001,bourp001,galvf001,hellj001
11,20160404,D,MIL,NL,3,peraw001,santd002,villj001,braur002,lucrj001,cartc002,hilla001,genns001,peraw001,broxk001,SFN,NL,12,bumgm001,spand001,panij002,poseb001,pench001,beltb001,duffm002,crawb001,bumgm001,pagaa001
12,20160404,D,SDN,NL,0,rosst001,jay-j001,norrd001,kempm001,myerw001,ramia003,solay001,uptob001,spanc001,rosst001,LAN,NL,15,kersc001,utlec001,seagc001,turnj001,gonza003,puigy001,crawc002,pedej001,ellia001,kersc001
13,20160405,N,ANA,AL,1,heana001,escoy001,gentc001,troum001,pujoa001,cronc002,calhk001,simma001,perec003,giavj001,CHN,NL,6,lestj001,fowld001,heywj001,bryak001,rizza001,zobrb001,solej001,russa002,szczm001,rossd001
14,20160405,D,CLE,AL,2,klubc001,davir003,kipnj001,lindf001,napom001,santc002,gomey001,byrdm001,uribj002,cowgc001,BOS,AL,6,pricd001,bettm001,pedrd001,bogax001,ortid001,ramih003,shawt001,holtb002,swihb001,bradj001
15,20160405,D,KCA,AL,0,younc003,escoa003,mousm001,cainl001,hosme001,morak001,gorda001,peres002,infao001,fuenr001,NYN,NL,2,syndn001,granc001,wrigd002,cespy001,dudal001,walkn001,confm001,cabra002,darnt001,deaza001
16,20160405,D,NYA,AL,3,tanam001,ellsj001,hicka001,rodra001,teixm001,beltc001,mccab002,headc001,casts001,gregd001,HOU,AL,5,keucd001,altuj001,sprig001,corrc001,rasmc001,gomec002,valbl001,tuckp001,gonzm002,castj006
17,20160405,N,OAK,AL,4,bassc001,crisc001,lowrj001,reddj001,valed001,davik003,butlb003,phegj001,alony001,semim001,CHA,AL,5,quinj001,eatoa002,rollj001,abrej003,frazt001,cabrm002,garca003,lawrb002,avila001,jacka001
18,20160405,N,TBA,AL,3,odorj001,forsl001,morrl001,longe001,dickc002,jennd002,millb002,souzs001,kierk001,congh001,TOR,AL,2,sanca006,pillk001,donaj001,bautj002,encae001,tulot001,smoaj001,saunm001,martr004,goinr001
19,20160405,N,TEX,AL,2,perem004,deshd002,choos001,fielp001,belta001,morem001,desmi001,odorr001,andre001,chirr001,SEA,AL,10,iwakh001,aokin001,martk001,canor001,cruzn002,seagk001,gutif001,iannc001,lee-d004,martl004
20,20160405,N,ARI,NL,11,mills001,seguj002,brits001,goldp001,perad001,castw002,lambj001,tomay001,mills001,ahmen001,COL,NL,6,bettc001,blacc001,stort001,gonzc001,arenn001,parrg001,hundn001,paulb001,lemad001,bettc001
21,20160405,N,MIA,NL,7,chenw001,gordd002,ozunm001,yelic001,stanm004,pradm001,bourj002,realj001,hecha001,chenw001,DET,AL,8,verlj001,kinsi001,uptoj001,cabrm001,martj006,castn001,mccaj001,iglej001,gosea001,verlj001
22,20160405,N,MIL,NL,1,nelsj004,santd002,genns001,braur002,lucrj001,cartc002,florr003,hilla001,villj001,nelsj004,SFN,NL,2,cuetj001,spand001,panij002,poseb001,pench001,beltb001,duffm002,crawb001,cuetj001,pagaa001
23,20160405,N,PIT,NL,6,niesj001,jasoj001,mccua001,freed001,marts002,cervf001,polag001,harrj002,mercj002,niesj001,SLN,NL,5,wachm001,carpm002,piscs001,hollm001,gricr001,moliy001,mossb001,gyorj001,diaza003,wachm001
24,20160405,N,SDN,NL,0,shiej002,jay-j001,spanc001,kempm001,myerw001,norrd001,solay001,ramia003,uptob001,shiej002,LAN,NL,3,kazms001,utlec001,seagc001,turnj001,gonza003,puigy001,crawc002,pedej001,barna001,kazms001
25,20160406,N,BAL,AL,4,gally001,machm001,jonea003,davic003,trumm001,wietm001,alvap001,hardj003,schoj001,rickj001,MIN,AL,2,gibsk002,dozib001,mauej001,sanom001,plout001,rosae001,parkb002,escoe001,suzuk001,buxtb001
26,20160406,N,CLE,AL,7,carrc003,lindf001,ramij003,kipnj001,napom001,santc002,gomey001,byrdm001,uribj002,naqut001,BOS,AL,6,buchc001,bettm001,pedrd001,bogax001,ortid001,ramih003,shawt001,holtb002,swihb001,bradj001
27,20160406,N,NYA,AL,16,pinem001,ellsj001,gardb001,rodra001,teixm001,mccab002,beltc001,headc001,casts001,gregd001,HOU,AL,6,mchuc001,altuj001,sprig001,corrc001,rasmc001,gomec002,valbl001,whitt002,tuckp001,castj006
28,20160406,N,OAK,AL,2,grays001,burnb002,davik003,lowrj001,valed001,butlb003,phegj001,canhm001,alony001,semim001,CHA,AL,1,rodoc001,eatoa002,rollj001,abrej003,frazt001,cabrm002,garca003,lawrb002,avila001,jacka001
29,20160406,D,TBA,AL,5,moorm003,forsl001,guyeb001,longe001,pears001,jennd002,souzs001,beckt001,kierk001,casac001,TOR,AL,3,happj001,pillk001,donaj001,bautj002,encae001,tulot001,colac001,martr004,carre001,barnd001
30,20160406,D,TEX,AL,5,lewic001,choos001,desmi001,fielp001,belta001,odorr001,rua-r001,ruggj001,holab001,albeh001,SEA,AL,9,milew001,martl004,seagk001,canor001,cruzn002,linda001,smits002,sardl001,clevs001,martk001
31,20160406,D,ARI,NL,3,corbp001,seguj002,owinc001,goldp001,perad001,lambj001,drurb001,herrc001,corbp001,ahmen001,COL,NL,4,chatt001,lemad001,stort001,gonzc001,arenn001,reynm001,rabur001,hundn001,barnb002,chatt001
32,20160406,N,ATL,NL,1,norrb001,incie001,aybae001,freef001,garca004,markn001,olivh001,piera001,petej002,norrb001,WAS,NL,3,stras001,taylm002,renda001,harpb003,zimmr001,murpd006,wertj001,ramow001,espid001,stras001
33,20160406,N,CIN,NL,3,finnb001,cozaz001,suare001,vottj001,mesod001,brucj001,sches001,dejei002,finnb001,hamib001,PHI,NL,2,nolaa001,hernc005,galvf001,herro001,franm004,ruf-d001,ruppc001,bourp001,goedt001,nolaa001
34,20160406,D,MIA,NL,3,fernj003,gordd002,ozunm001,yelic001,stanm004,pradm001,bourj002,realj001,hecha001,fernj003,DET,AL,7,sanca004,kinsi001,uptoj001,cabrm001,martj006,castn001,saltj001,iglej001,gosea001,sanca004
